Artist,artist_id
Ir Sais,1210
Normani,1211
Kï¿½Ï,1212
Annalisa,1213
Franglish,1214
Camidoh,1215
Bob And Tom,1216
Leah Kate,1217
Jonas Blue,1218
Dj Jeeh Fdc,1219
Mac Miller,1220
The 1975,1221
Chayce Beckham,1222
Chino & Nacho,1223
Becky Hill,1224
Jamie Miller,1225
Prinz,1226
Blood Dance,1227
Riize,1228
Moneybagg Yo,1229
Alejo,1230
Partynextdoor,1231
Cï¿½Ï¿½Dig,1232
Ashnikko,1233
Jeon Somi,1234
Milky Chance,1235
Fira Cantika,1236
King Promise,1237
Luvia Band,1238
Fabio Asher,1239
Liam Payne,1240
Gesaffelstein,1241
Melike Ï¿½Ï¿½,1242
Jennifer Lopez,1243
Nelly,1244
Yiï¿½,1245
G3Ox_Em,1246
Alesso,1247
Israel & Rodolffo,1248
The La Planta,1249
Amrinder Gill,1250
Yuqi,1251
Ghali,1252
Eve,1253
Ybn Nahmir,1254
Ghost,1255
Two Feet,1256
Famous Dex,1257
Cash Cobain,1258
Octasounds,1259
Corey Kent,1260
Bazzi,1261
13 Organisï¿,1262
Kï¿½Ï¿½Ï¿½,1263
Lola Amour,1264
Bounce Oï¿½Ï¿½Ï¿,1265
Dj Luian,1266
Frank Ocean,1267
Favï¿,1268
Beach House,1269
Jt,1270
Magic!,1271
Rob $Tone,1272
Boomboxrepairkit,1273
Waka Flocka Flame,1274
Bonnadol,1275
Amo988,1276
Tank,1277
Indila,1278
Donald,1279
Rachel Platten,1280
Starboi3,1281
Yot Club,1282
H.E.R.,1283
1Da Banton,1284
Willow,1285
Hachi,1286
G.D. Kaur,1287
Lasso,1288
Kxllswxtch,1289
Dj Glk,1290
Jorja Smith,1291
Skylar Blatt,1292
Stephanie Beatriz,1293
Kevin Roldan,1294
Uzii Bigtalk,1295
1Nonly,1296
Chahat Fateh Ali Khan,1297
Sdm,1298
Gorillaz,1299
Viviz,1300
Kent Jones,1301
Blocboy Jb,1302
Armaan Malik,1303
Parker Mccollum,1304
Mafalda Cardenal,1305
Sada Baby,1306
D Gerrard,1307
Wild Child,1308
Lizot,1309
Bakermat,1310
Lunay,1311
Stacey Ryan,1312
A$Ap Ferg,1313
Yungmanny,1314
Mc Paiva Zs,1315
Memphis Cult,1316
Calboy,1317
Luan Santana,1318
Fatih Bulut,1319
Mupp,1320
Cian Ducrot,1321
Glwzbll,1322
Kazuo,1323
Baby Gang,1324
Djpaoremix,1325
Robin Schulz,1326
Venbee,1327
Renn,1328
Mc Livinho,1329
Switchotr,1330
Altï¿½Ï,1331
Yung Filly,1332
Flo Rida,1333
Pierre Garnier,1334
Ahmed Saad,1335
Flipp Dinero,1336
Bishop Briggs,1337
Atif Aslam,1338
Tom Grennan,1339
Sped Up Nightcore,1340
Sprite,1341
Joyner Lucas,1342
Destroy Lonely,1343
Aretha Franklin,1344
Ricky Desktop,1345
Music Factory,1346
Itzy,1347
Akris & Teddy,1348
Shivali,1349
Will.I.Am,1350
Keala Settle,1351
Dj Ws Da Igrejinha,1352
Baby Lasagna,1353
The Blessed Madonna,1354
Red Velvet,1355
Mk,1356
Q' Lokura,1357
Justin Quiles,1358
Dnce,1359
"Luis Angel ""El Flaco""",1360
Dildora Niyozova,1361
Bingo Club,1362
Codiciado,1363
Fireboy Dml,1364
Guilherme & Benuto,1365
Bad Omens,1366
Elmo,1367
Macklemore,1368
Bandido,1369
Hypaton,1370
Lea,1371
Jessie J,1372
Aldn,1373
Hot Lemon,1374
Prod.67,1375
Carlos Agassi,1376
Taeyang,1377
Marnik,1378
Crayon,1379
Chance Peï¿½,1380
Harmonize,1381
Noah Cyrus,1382
Los Gemelos De Sinaloa,1383
Rei,1384
The Anxiety,1385
Philly Goats,1386
La Pantera,1387
Gym Class Heroes,1388
Ilovemakonnen,1389
Mc Caverinha,1390
Benny Dayal,1391
Roy Woods,1392
Beabadoobee,1393
Hitkidd,1394
Toadi,1395
Dj Rick 013,1396
